example_id                                                   | status  | run_time        |
./spec/controllers/clients_controller_spec.rb[1:5:2:1]       | pending | 0.00103 seconds |
./spec/controllers/clients_controller_spec.rb[1:5:2:2]       | pending | 0.00093 seconds |
./spec/controllers/clients_controller_spec.rb[1:6:1]         | pending | 0.00106 seconds |
./spec/controllers/clients_controller_spec.rb[1:6:2]         | pending | 0.001 seconds   |
./spec/controllers/discounts_controller_spec.rb[1:1:1]       | pending | 0.00103 seconds |
./spec/controllers/discounts_controller_spec.rb[1:2:1]       | pending | 0.00106 seconds |
./spec/controllers/discounts_controller_spec.rb[1:3:1]       | pending | 0.00096 seconds |
./spec/controllers/discounts_controller_spec.rb[1:4:1:1]     | pending | 0.0038 seconds  |
./spec/controllers/discounts_controller_spec.rb[1:4:1:2]     | pending | 0.0011 seconds  |
./spec/controllers/discounts_controller_spec.rb[1:4:1:3]     | pending | 0.0011 seconds  |
./spec/controllers/discounts_controller_spec.rb[1:4:2:1]     | pending | 0.00127 seconds |
./spec/controllers/discounts_controller_spec.rb[1:4:2:2]     | pending | 0.00137 seconds |
./spec/controllers/discounts_controller_spec.rb[1:5:1:1]     | pending | 0.00108 seconds |
./spec/controllers/discounts_controller_spec.rb[1:5:1:2]     | pending | 0.00095 seconds |
./spec/controllers/discounts_controller_spec.rb[1:5:1:3]     | pending | 0.00108 seconds |
./spec/controllers/discounts_controller_spec.rb[1:5:2:1]     | pending | 0.00105 seconds |
./spec/controllers/discounts_controller_spec.rb[1:5:2:2]     | pending | 0.0008 seconds  |
./spec/controllers/discounts_controller_spec.rb[1:6:1]       | pending | 0.00109 seconds |
./spec/controllers/discounts_controller_spec.rb[1:6:2]       | pending | 0.00081 seconds |
./spec/controllers/orders_controller_spec.rb[1:1:1]          | pending | 0.00108 seconds |
./spec/controllers/orders_controller_spec.rb[1:2:1]          | pending | 0.00104 seconds |
./spec/controllers/orders_controller_spec.rb[1:3:1]          | pending | 0.00132 seconds |
./spec/controllers/orders_controller_spec.rb[1:4:1:1]        | pending | 0.00172 seconds |
./spec/controllers/orders_controller_spec.rb[1:4:1:2]        | pending | 0.00095 seconds |
./spec/controllers/orders_controller_spec.rb[1:4:1:3]        | pending | 0.00105 seconds |
./spec/controllers/orders_controller_spec.rb[1:4:2:1]        | pending | 0.00108 seconds |
./spec/controllers/orders_controller_spec.rb[1:4:2:2]        | pending | 0.00098 seconds |
./spec/controllers/orders_controller_spec.rb[1:5:1:1]        | pending | 0.00102 seconds |
./spec/controllers/orders_controller_spec.rb[1:5:1:2]        | pending | 0.00106 seconds |
./spec/controllers/orders_controller_spec.rb[1:5:1:3]        | pending | 0.001 seconds   |
./spec/controllers/orders_controller_spec.rb[1:5:2:1]        | pending | 0.001 seconds   |
./spec/controllers/orders_controller_spec.rb[1:5:2:2]        | pending | 0.00111 seconds |
./spec/controllers/orders_controller_spec.rb[1:6:1]          | pending | 0.00111 seconds |
./spec/controllers/orders_controller_spec.rb[1:6:2]          | pending | 0.00107 seconds |
./spec/controllers/price_lists_controller_spec.rb[1:1:1]     | pending | 0.00108 seconds |
./spec/controllers/price_lists_controller_spec.rb[1:2:1]     | pending | 0.00122 seconds |
./spec/controllers/price_lists_controller_spec.rb[1:3:1]     | pending | 0.00109 seconds |
./spec/controllers/price_lists_controller_spec.rb[1:4:1:1]   | pending | 0.00405 seconds |
./spec/controllers/price_lists_controller_spec.rb[1:4:1:2]   | pending | 0.00117 seconds |
./spec/controllers/price_lists_controller_spec.rb[1:4:1:3]   | pending | 0.00107 seconds |
./spec/controllers/price_lists_controller_spec.rb[1:4:2:1]   | pending | 0.00099 seconds |
./spec/controllers/price_lists_controller_spec.rb[1:4:2:2]   | pending | 0.0011 seconds  |
./spec/controllers/price_lists_controller_spec.rb[1:5:1:1]   | pending | 0.00084 seconds |
./spec/controllers/price_lists_controller_spec.rb[1:5:1:2]   | pending | 0.00088 seconds |
./spec/controllers/price_lists_controller_spec.rb[1:5:1:3]   | pending | 0.00125 seconds |
./spec/controllers/price_lists_controller_spec.rb[1:5:2:1]   | pending | 0.00108 seconds |
./spec/controllers/price_lists_controller_spec.rb[1:5:2:2]   | pending | 0.00113 seconds |
./spec/controllers/price_lists_controller_spec.rb[1:6:1]     | pending | 0.00086 seconds |
./spec/controllers/price_lists_controller_spec.rb[1:6:2]     | pending | 0.00095 seconds |
./spec/controllers/products_controller_spec.rb[1:1:1]        | pending | 0.00104 seconds |
./spec/controllers/products_controller_spec.rb[1:2:1]        | pending | 0.00098 seconds |
./spec/controllers/products_controller_spec.rb[1:3:1]        | pending | 0.00106 seconds |
./spec/controllers/products_controller_spec.rb[1:4:1:1]      | pending | 0.00416 seconds |
./spec/controllers/products_controller_spec.rb[1:4:1:2]      | pending | 0.00105 seconds |
./spec/controllers/products_controller_spec.rb[1:4:1:3]      | pending | 0.00107 seconds |
./spec/controllers/products_controller_spec.rb[1:4:2:1]      | pending | 0.00097 seconds |
./spec/controllers/products_controller_spec.rb[1:4:2:2]      | pending | 0.00118 seconds |
./spec/controllers/products_controller_spec.rb[1:5:1:1]      | pending | 0.00097 seconds |
./spec/controllers/products_controller_spec.rb[1:5:1:2]      | pending | 0.00108 seconds |
./spec/controllers/products_controller_spec.rb[1:5:1:3]      | pending | 0.00123 seconds |
./spec/controllers/products_controller_spec.rb[1:5:2:1]      | pending | 0.001 seconds   |
./spec/controllers/products_controller_spec.rb[1:5:2:2]      | pending | 0.00089 seconds |
./spec/controllers/products_controller_spec.rb[1:6:1]        | pending | 0.00117 seconds |
./spec/controllers/products_controller_spec.rb[1:6:2]        | pending | 0.00702 seconds |
./spec/models/admin_user_spec.rb[1:1]                        | pending | 0.00001 seconds |
./spec/models/billing_info_spec.rb[1:1]                      | pending | 0.00001 seconds |
./spec/models/category_spec.rb[1:1]                          | pending | 0.00001 seconds |
./spec/models/claim_spec.rb[1:1]                             | pending | 0.00001 seconds |
./spec/models/client_spec.rb[1:1]                            | pending | 0 seconds       |
./spec/models/discount_spec.rb[1:1]                          | pending | 0.00001 seconds |
./spec/models/price_list_spec.rb[1:1]                        | pending | 0 seconds       |
./spec/models/product_spec.rb[1:1]                           | pending | 0.00001 seconds |
./spec/requests/admin_users_spec.rb[1:1:1]                   | passed  | 0.16056 seconds |
./spec/requests/billing_infos_spec.rb[1:1:1]                 | passed  | 0.00364 seconds |
./spec/requests/categories_spec.rb[1:1:1]                    | passed  | 0.00347 seconds |
./spec/requests/claims_spec.rb[1:1:1]                        | passed  | 0.00553 seconds |
./spec/requests/clients_spec.rb[1:1:1]                       | passed  | 0.00338 seconds |
./spec/requests/discounts_spec.rb[1:1:1]                     | passed  | 0.00371 seconds |
./spec/requests/orders_spec.rb[1:1:1]                        | passed  | 0.00677 seconds |
./spec/requests/price_lists_spec.rb[1:1:1]                   | passed  | 0.00353 seconds |
./spec/requests/products_spec.rb[1:1:1]                      | passed  | 0.00282 seconds |
./spec/routing/admin_users_routing_spec.rb[1:1:1]            | passed  | 0.00092 seconds |
./spec/routing/admin_users_routing_spec.rb[1:1:2]            | passed  | 0.00108 seconds |
./spec/routing/admin_users_routing_spec.rb[1:1:3]            | passed  | 0.00102 seconds |
./spec/routing/admin_users_routing_spec.rb[1:1:4]            | passed  | 0.00101 seconds |
./spec/routing/admin_users_routing_spec.rb[1:1:5]            | passed  | 0.00116 seconds |
./spec/routing/admin_users_routing_spec.rb[1:1:6]            | passed  | 0.00101 seconds |
./spec/routing/billing_infos_routing_spec.rb[1:1:1]          | passed  | 0.001 seconds   |
./spec/routing/billing_infos_routing_spec.rb[1:1:2]          | passed  | 0.00127 seconds |
./spec/routing/billing_infos_routing_spec.rb[1:1:3]          | passed  | 0.00118 seconds |
./spec/routing/billing_infos_routing_spec.rb[1:1:4]          | passed  | 0.0011 seconds  |
./spec/routing/billing_infos_routing_spec.rb[1:1:5]          | passed  | 0.00115 seconds |
./spec/routing/billing_infos_routing_spec.rb[1:1:6]          | passed  | 0.00124 seconds |
./spec/routing/categories_routing_spec.rb[1:1:1]             | passed  | 0.00111 seconds |
./spec/routing/categories_routing_spec.rb[1:1:2]             | passed  | 0.001 seconds   |
./spec/routing/categories_routing_spec.rb[1:1:3]             | passed  | 0.00117 seconds |
./spec/routing/categories_routing_spec.rb[1:1:4]             | passed  | 0.00106 seconds |
./spec/routing/categories_routing_spec.rb[1:1:5]             | passed  | 0.00105 seconds |
./spec/routing/categories_routing_spec.rb[1:1:6]             | passed  | 0.00105 seconds |
./spec/routing/claims_routing_spec.rb[1:1:1]                 | passed  | 0.00097 seconds |
./spec/routing/claims_routing_spec.rb[1:1:2]                 | passed  | 0.00102 seconds |
./spec/routing/claims_routing_spec.rb[1:1:3]                 | passed  | 0.00111 seconds |
./spec/routing/claims_routing_spec.rb[1:1:4]                 | passed  | 0.00105 seconds |
